2022/5/11 下午 09:33:55	此記錄檔包含有關使用者 'Max' 在電腦 'DESKTOP-I0M0JJR' 上將結構描述匯入專案 'Database1' 之作業的資訊。
2022/5/11 下午 09:33:57	資料庫結構描述匯入已啟動。
2022/5/11 下午 09:34:07	正在蒐集資料庫認證
2022/5/11 下午 09:34:07	正在蒐集資料庫選項
2022/5/11 下午 09:34:07	正在收集泛型資料庫範圍的組態選項
2022/5/11 下午 09:34:07	正在蒐集使用者
2022/5/11 下午 09:34:07	正在蒐集角色
2022/5/11 下午 09:34:07	正在蒐集應用程式角色
2022/5/11 下午 09:34:07	正在蒐集角色成員資格
2022/5/11 下午 09:34:07	正在蒐集檔案群組
2022/5/11 下午 09:34:07	正在蒐集全文檢索目錄
2022/5/11 下午 09:34:07	正在蒐集組件
2022/5/11 下午 09:34:07	正在蒐集憑證
2022/5/11 下午 09:34:07	正在蒐集非對稱金鑰
2022/5/11 下午 09:34:07	正在蒐集對稱金鑰
2022/5/11 下午 09:34:07	正在蒐集加密的對稱金鑰
2022/5/11 下午 09:34:07	正在蒐集結構描述
2022/5/11 下午 09:34:07	正在蒐集 XML 結構描述集合
2022/5/11 下午 09:34:07	正在蒐集使用者定義資料型別
2022/5/11 下午 09:34:07	正在蒐集使用者定義型別
2022/5/11 下午 09:34:07	正在蒐集資料表類型
2022/5/11 下午 09:34:07	正在蒐集資料表類型的唯一索引鍵
2022/5/11 下午 09:34:07	正在蒐集資料表類型的主索引鍵
2022/5/11 下午 09:34:07	正在收集資料表類型的索引
2022/5/11 下午 09:34:09	正在蒐集資料表類型的檢查條件約束
2022/5/11 下午 09:34:09	正在蒐集資料表類型的預設條件約束
2022/5/11 下午 09:34:09	正在蒐集資料分割函式
2022/5/11 下午 09:34:09	正在蒐集資料分割配置
2022/5/11 下午 09:34:09	正在蒐集函式
2022/5/11 下午 09:34:09	正在蒐集加密的函式
2022/5/11 下午 09:34:09	正在蒐集彙總
2022/5/11 下午 09:34:09	正在蒐集程序
2022/5/11 下午 09:34:09	正在蒐集加密的程序
2022/5/11 下午 09:34:09	正在蒐集資料表
2022/5/11 下午 09:34:09	正在蒐集主索引鍵
2022/5/11 下午 09:34:09	正在蒐集唯一的條件約束
2022/5/11 下午 09:34:09	正在蒐集外部索引鍵
2022/5/11 下午 09:34:09	正在蒐集預設條件約束
2022/5/11 下午 09:34:09	正在蒐集檢查條件約束
2022/5/11 下午 09:34:09	正在蒐集檢視
2022/5/11 下午 09:34:09	正在蒐集加密的檢視表
2022/5/11 下午 09:34:09	正在蒐集索引
2022/5/11 下午 09:34:09	正在蒐集統計資料
2022/5/11 下午 09:34:09	正在蒐集全文檢索索引停用字詞表
2022/5/11 下午 09:34:09	正在蒐集搜尋屬性清單
2022/5/11 下午 09:34:09	正在蒐集搜尋屬性
2022/5/11 下午 09:34:09	正在蒐集全文檢索索引
2022/5/11 下午 09:34:09	正在蒐集資料行儲存索引
2022/5/11 下午 09:34:09	正在蒐集空間索引
2022/5/11 下午 09:34:09	正在蒐集 XML 索引
2022/5/11 下午 09:34:09	正在蒐集選擇性 XML 索引
2022/5/11 下午 09:34:09	正在蒐集加密的觸發程序
2022/5/11 下午 09:34:09	正在蒐集觸發程序
2022/5/11 下午 09:34:09	正在蒐集加密的和 CLR DDL 觸發程序
2022/5/11 下午 09:34:09	正在蒐集 DDL 觸發程序
2022/5/11 下午 09:34:09	正在建立邊緣條件約束
2022/5/11 下午 09:34:09	正在蒐集同義資料表
2022/5/11 下午 09:34:09	正在蒐集預設值
2022/5/11 下午 09:34:09	正在蒐集資料條件約束 UDDT 繫結
2022/5/11 下午 09:34:09	正在蒐集規則
2022/5/11 下午 09:34:09	正在蒐集資料條件約束 UDDT 繫結
2022/5/11 下午 09:34:09	正在蒐集訊息類型
2022/5/11 下午 09:34:09	正在蒐集佇列
2022/5/11 下午 09:34:09	正在蒐集合約
2022/5/11 下午 09:34:09	正在蒐集服務
2022/5/11 下午 09:34:09	正在蒐集事件告知
2022/5/11 下午 09:34:09	正在蒐集遠端服務繫結
2022/5/11 下午 09:34:09	正在蒐集 Broker 優先權
2022/5/11 下午 09:34:09	正在蒐集簽章
2022/5/11 下午 09:34:09	正在蒐集資料壓縮選項
2022/5/11 下午 09:34:09	正在蒐集序列類型
2022/5/11 下午 09:34:09	正在收集安全性原則
2022/5/11 下午 09:34:09	收集資料行加密金鑰
2022/5/11 下午 09:34:09	正在收集資料行主要金鑰
2022/5/11 下午 09:34:09	正在收集外部資料來源
2022/5/11 下午 09:34:09	正在收集外部檔案格式
2022/5/11 下午 09:34:09	正在收集外部資料表
2022/5/11 下午 09:34:09	正在蒐集擴充屬性
2022/5/11 下午 09:34:10	正在蒐集認證
2022/5/11 下午 09:34:10	正在蒐集登入
2022/5/11 下午 09:34:10	正在蒐集伺服器稽核
2022/5/11 下午 09:34:12	正在掃描專案的重複項目
2022/5/11 下午 09:34:12	完成複製項目處理
2022/5/11 下午 09:34:12	完成匯入資料庫。
2022/5/11 下午 09:34:12	匯入的摘要已儲存到下列位置: C:\Users\Max\source\repos\Database1\Database1\匯入結構描述記錄\Database1_20220511013355.log
2022/5/11 下午 09:34:12	按 [完成] 繼續進行...
